72622738719660687,1
72622738719655942,6
72622743014613085,15
72622738719660295,1
72622734424680721,21
72622738719665865,6
72622743014624332,3
72622738719669013,23
72622738719653934,1
72622738719657763,9
72622678590134399,8
72622743014633832,1
72622734424699463,7
72622743014622928,15
72622738719670699,12
72622738719675680,2
72621265545940403,1
72622738719663429,3
72622674295168219,1
72622738719658176,9
72622743014621062,6
72622734424691917,8
72622738719669495,8
72622738719658182,1
72622738719671400,1
72622734424682802,6
72622700064968738,6
72622734424696237,29
72622738719660780,16
72622734424690563,2
72620844639164356,1
72622738719674317,1
72622738719667163,5
72622738719669794,1
72622738719668705,6
72622743014634369,3
72622743014631308,7
72622734424682736,2
72622743014616078,3
72622743014633748,5
72622738719654244,2
72622738719668934,1
72622738719668937,1
72622743014627444,8
72622734424697283,1
72622738719665540,3
72622738719675854,1
72622743014619478,2
72622743014631907,7
72622743014627524,5
72622738719662069,5
72622738719671035,6
72622695770009005,24
72622738719655836,7
72622738719675008,2
72622738719666550,2
72622738719650399,3
72622738719669833,6
72622738719658454,6
72622743014614081,12
72622738719657805,5
72622738719675225,3
72622743014628435,21
72622738719667265,1
72622738719668998,16
72622738719650703,22
72622639935428782,2
72622695770008727,7
72622734424679710,13
72622184668899508,1
72622734424696066,9
72622734424678883,12
72622738719675805,1
72622734424683045,27
72622734424701517,8
72622734424700453,7
72622738719659193,8
72621037912699187,1
72622743014630163,6
72622738719655757,30
72622738719671249,3
72622734424682936,3
72622738719664705,8
72621875431274340,5
72622738719659176,3
72620548288021764,6
72622631345491406,2
72622717244831752,1
72622631345491401,1
72622738719670146,23
72622738719666980,15
72622738719651738,5
72622738719665928,2
72622738719651730,8
72622700064969106,1
72622734424694377,33
72622738719664003,27
72622738719655050,2
72622734424701634,10
72622743014628418,3
72622738719658048,9
72622738719652740,31
72622743014628206,3
72622743014620549,4
72622734424699659,9
72622743014631602,7
72622743014632819,15
72622734424696719,32
72622730129730133,12
72622734424680949,22
72622738719658915,9
72622738719658916,3
72622743014632764,9
72622743014627498,19
72622734424688217,1
72622743014628463,23
72622738719648405,1
72622700064969325,1
72622734424681265,1
72622085884665584,3
72622678590134410,1
